latitude,longitude,velocity,direction,distance,dir_diff
35.1044197,129.0942535,12.0,179.0,3.3914499470934008,-3.0
35.104393,129.0942535,13.0,176.0,2.968908642091359,-3.0
35.1043587,129.0942535,13.0,175.0,3.813991252095443,-1.0
35.1043243,129.0942535,13.0,173.0,3.825110759879833,-2.0
35.1042938,129.0942535,14.0,176.0,3.3914499470934008,3.0
35.1042557,129.0942688,15.0,177.0,4.459305571155031,1.0
35.1042137,129.0942688,17.0,175.0,4.670193369883917,-2.0
35.1041603,129.0942688,17.0,173.0,5.937817284890042,-2.0
35.1041183,129.0942841,16.0,176.0,4.873182801141338,3.0
35.104084,129.0942841,15.0,175.0,3.813991252095443,-1.0
