0,1,2,3,4
0.1499813,0.14258757,0.18958214,0.2286154,0.2892336
0.13900982,0.1644834,0.19155075,0.2401954,0.26476064
0.15287519,0.1673598,0.20475952,0.22979826,0.2452072
0.15967022,0.18138184,0.20317851,0.21993446,0.23583499
0.15780489,0.16914314,0.18303654,0.20025358,0.2897618
0.14886442,0.15768431,0.17656219,0.26526478,0.25162426
0.13689913,0.14874415,0.22848271,0.22340508,0.26246896
0.12492838,0.18632603,0.19167113,0.23387174,0.26320273
0.15197061,0.16056262,0.20388675,0.23826787,0.24531221
0.13976683,0.17310691,0.20859823,0.22006357,0.2584645
0.15056068,0.17549177,0.18786831,0.22727516,0.25880408
0.15621419,0.16151187,0.19837719,0.23315914,0.2507376
0.15149629,0.17213574,0.20151997,0.22226533,0.25258267
0.15465015,0.17135084,0.19057593,0.22111464,0.26230845
0.15952049,0.16763768,0.19420366,0.23375307,0.24488516
0.16229956,0.17278236,0.20433597,0.21688648,0.24369566
0.16225584,0.18238303,0.19362542,0.22048512,0.24125056
0.17685793,0.17638159,0.19817957,0.21982573,0.22875509
0.17664576,0.1818727,0.19686574,0.20669223,0.23792353
0.18440415,0.18131597,0.1864242,0.21611503,0.23174064
0.18712372,0.17713848,0.19916119,0.21410365,0.22247295
0.18409207,0.1883553,0.19680312,0.20522703,0.2255225
0.21154669,0.19381778,0.1929707,0.21093607,0.19072887
0.21898976,0.19352393,0.20172493,0.18179283,0.20396854
0.21155776,0.19431229,0.16710877,0.18655117,0.24047007
0.20852052,0.15967055,0.1698895,0.21725155,0.24466792
0.1873204,0.17178063,0.20754062,0.23116735,0.20219098
0.19937564,0.2034127,0.21400759,0.18583533,0.1973688
0.23853186,0.21906288,0.18144555,0.1896108,0.17134891
0.27737176,0.20215283,0.1957504,0.17264403,0.152081
0.28606266,0.22938327,0.18509975,0.15763716,0.14181712
0.31857324,0.20939599,0.15991148,0.13871467,0.1734046
0.3166447,0.1912359,0.14480981,0.17171434,0.17559525
0.31277847,0.17201135,0.17226352,0.16627453,0.17667215
0.30556932,0.20336445,0.1632081,0.16297029,0.16488789
0.3547546,0.19520335,0.16232,0.15418325,0.13353875
0.3594883,0.20723844,0.1642004,0.1330636,0.1360092
0.3975435,0.2113481,0.14160055,0.13495868,0.11454909
0.4302228,0.19338013,0.14991862,0.117782265,0.108696155
0.43919083,0.2137094,0.1339312,0.113716565,0.09945199
0.49263844,0.18772489,0.12567127,0.10074999,0.09321539
0.49642164,0.19409047,0.120030515,0.10047296,0.08898449
0.5185675,0.17656566,0.111912824,0.089902185,0.103051834
0.50518095,0.16679528,0.099155225,0.10192481,0.1269437
0.49048552,0.14527375,0.10892732,0.12126737,0.13404602
0.4625724,0.1614086,0.12819153,0.12624975,0.12157772
0.48252532,0.17274863,0.12131304,0.10445757,0.118955396
0.506932,0.16899143,0.10478787,0.10653867,0.11275006
0.49221826,0.1532495,0.11422429,0.108824804,0.13148315
0.47102708,0.16374996,0.11076688,0.118440084,0.13601594
0.46652222,0.15175238,0.117607646,0.1211254,0.1429924
0.44965774,0.1642315,0.1206903,0.12625337,0.13916709
0.46751133,0.16693938,0.12693335,0.12494088,0.113675155
0.47262,0.18006249,0.12987684,0.10543768,0.11200291
0.48770976,0.18150823,0.108583696,0.103299715,0.11889861
0.49784112,0.15833047,0.11167842,0.115158655,0.116991326
0.46777514,0.16926609,0.1280266,0.11592279,0.11900932
0.47319072,0.18002497,0.120062545,0.11053826,0.11618343
0.4808988,0.16678992,0.113491304,0.106793396,0.13202663
0.46272233,0.1646497,0.11412534,0.12525983,0.1332428
0.45536137,0.16294923,0.13144246,0.12454622,0.1257007
0.43483797,0.18336096,0.1292412,0.11700168,0.13555822
0.45175773,0.16826898,0.11360302,0.11785468,0.14851557
0.40383068,0.15338197,0.12106534,0.13833377,0.18338834
0.36260593,0.15460446,0.1327203,0.15824848,0.1918208
0.34924275,0.164029,0.14890355,0.16371988,0.17410481
0.3351004,0.17761035,0.15352376,0.14841656,0.18534896
0.32324103,0.17797111,0.13905898,0.15958142,0.20014754
